### 审核结果

#### 审核要点 1：邮件格式审核  
| 审核要点    | 审核结论 | 审核说明 |  
|--------------|----------|----------|  
| 邮件格式审核 | 是       | 邮件正文包含目的、日期、地点、出席人员及金额信息，符合要求。 |  

#### 审核要点 2：邮件人均金额  
| 审核要点       | 审核结论 | 审核说明 |  
|----------------|----------|----------|  
| 邮件人均金额   | 是       | 邮件正文明确人均金额为350元，且在0-600范围内，符合要求。 |  

#### 审核要点 3：大额单据审核  
| 审核要点       | 审核结论 | 审核说明 |  
|----------------|----------|----------|  
| 大额单据审核   | 是       | 单据金额为882元，低于1500元，无需提供个人支付凭证，符合要求。 |  

#### 审核要点 4：单据金额与邮件金额  
| 审核要点             | 审核结论 | 审核说明 |  
|----------------------|----------|----------|  
| 单据金额与邮件金额  | 是       | 单据金额882元小于邮件正文金额2100元，符合要求。 |  

#### 审核要点 5：有无发票  
| 审核要点    | 审核结论 | 审核说明 |  
|--------------|----------|----------|  
| 有无发票    | 是       | 单据附有发票，发票信息完整，符合要求。 |  

#### 审核要点 6：每人单价审核  
| 审核要点       | 审核结论 | 审核说明 |  
|----------------|----------|----------|  
| 每人单价审核   | 是       | 单据每人单价147元小于200元，符合要求。 |  

### 总结  
所有审核要点均通过，单据符合报销要求。
